measurement_date,upstream_water_level,downstream_water_level,inflow_rate,outflow_rate
'2014 Feb 09',166.38,65.70,4100.00,6620.00
'2014 Feb 10',166.28,65.26,4700.00,6680.00
'2014 Feb 11',166.11,65.36,4550.00,6610.00
'2014 Feb 12',165.98,65.56,4800.00,6640.00
'2014 Feb 13',165.86,65.38,4800.00,6630.00
'2014 Feb 14',165.75,65.44,4900.00,6650.00
'2014 Feb 15',165.59,65.21,4900.00,6630.00
'2014 Feb 16',165.46,65.22,4900.00,6650.00
'2014 Feb 17',165.34,65.20,4700.00,6660.00
'2014 Feb 18',165.24,65.37,4900.00,6670.00
'2014 Feb 19',165.17,65.32,4950.00,6660.00
'2014 Feb 20',165.01,65.32,4950.00,6680.00
'2014 Feb 21',164.84,65.31,4700.00,8110.00
'2014 Feb 22',164.62,65.49,4800.00,7670.00
'2014 Feb 23',164.39,65.52,5100.00,7690.00
'2014 Feb 24',164.23,65.35,5200.00,7700.00
'2014 Feb 25',164.07,65.33,5500.00,7720.00
'2014 Feb 26',163.83,65.01,5000.00,7710.00
'2014 Feb 27',163.59,65.19,4800.00,7690.00
'2014 Feb 28',163.34,65.31,4700.00,7720.00
'2014 Mar 01',163.07,65.68,4700.00,7770.00
'2014 Mar 02',162.87,65.34,5000.00,7750.00
'2014 Mar 03',162.62,65.37,4900.00,7760.00
'2014 Mar 04',162.55,65.40,5050.00,6740.00
'2014 Mar 05',162.44,65.29,5400.00,6720.00
'2014 Mar 06',162.44,65.42,5300.00,6650.00
'2014 Mar 07',162.37,65.48,5400.00,6650.00
'2014 Mar 08',162.44,65.48,5400.00,7430.00
'2014 Mar 09',162.17,65.47,5000.00,6660.00
'2014 Mar 10',162.06,65.51,5100.00,6680.00
'2014 Mar 11',161.91,65.36,5100.00,6670.00
'2014 Mar 12',161.91,65.28,5100.00,6660.00
'2014 Mar 13',161.83,65.34,5000.00,6670.00
'2014 Mar 14',161.74,65.63,5000.00,6690.00
'2014 Mar 15',161.63,65.58,5000.00,6700.00
'2014 Mar 16',161.51,65.52,5100.00,6710.00
'2014 Mar 17',161.33,65.61,4900.00,6750.00
'2014 Mar 18',161.21,65.60,4700.00,6720.00
'2014 Mar 19',160.97,65.77,4800.00,6760.00
'2014 Mar 20',160.98,65.62,5200.00,6740.00
'2014 Mar 21',161.06,65.73,5800.00,6750.00
'2014 Mar 22',161.10,65.59,6000.00,6730.00
'2014 Mar 23',161.03,65.80,5300.00,6470.00
'2014 Mar 24',161.00,65.86,5200.00,6760.00
'2014 Mar 25',160.93,65.59,5400.00,6740.00
'2014 Mar 26',160.94,65.45,5400.00,6740.00
'2014 Mar 27',160.71,65.53,5300.00,6750.00
'2014 Mar 28',160.74,65.80,6000.00,6770.00
'2014 Mar 29',160.77,65.98,6800.00,6790.00
'2014 Mar 30',160.88,65.79,7300.00,6780.00
'2014 Mar 31',161.12,65.20,7600.00,6700.00
'2014 Apr 01',161.49,64.95,10000.00,6690.00
'2014 Apr 02',162.06,65.21,11000.00,6660.00
'2014 Apr 03',162.62,65.04,10200.00,6830.00
'2014 Apr 04',163.10,65.87,9000.00,6870.00
'2014 Apr 05',163.36,65.20,8200.00,6890.00
'2014 Apr 06',163.60,65.42,8600.00,6870.00
'2014 Apr 07',163.94,65.13,9000.00,6850.00
'2014 Apr 08',164.22,65.26,8800.00,7110.00
'2014 Apr 09',163.10,65.87,9000.00,6870.00
'2014 Apr 10',164.46,64.73,9800.00,8660.00
'2014 Apr 11',164.55,64.50,10200.00,9950.00
'2014 Apr 12',164.55,64.47,10000.00,9960.00
'2014 Apr 13',164.63,64.50,9300.00,9960.00
'2014 Apr 14',164.43,65.13,8000.00,10000.00
'2014 Apr 15',164.31,65.54,9000.00,10100.00
'2014 Apr 16',164.08,64.62,8800.00,12000.00
'2014 Apr 17',163.37,64.64,9500.00,12700.00
'2014 Apr 18',163.64,64.53,10000.00,12700.00
'2014 Apr 19',163.64,64.20,11600.00,12700.00
'2014 Apr 20',162.81,65.04,9100.00,9780.00
'2014 Apr 21',163.45,64.39,11200.00,12800.00
'2014 Apr 22',163.28,64.57,10000.00,12800.00
'2014 Apr 23',163.12,64.43,9700.00,12100.00
'2014 Apr 24',164.43,65.13,8000.00,10000.00
'2014 Apr 25',162.62,64.69,8900.00,11200.00
'2014 Apr 26',162.84,64.38,8700.00,7310.00
'2014 Apr 27',162.97,64.27,8400.00,7290.00
'2014 Apr 28',162.98,64.60,8000.00,9370.00
'2014 Apr 29',162.50,65.30,8000.00,13500.00
'2014 Apr 30',161.98,65.76,8200.00,13700.00
'2014 May 01',161.58,65.66,8000.00,13000.00
'2014 May 02',162.62,65.01,7200.00,10700.00
'2014 May 03',160.49,65.31,7800.00,13100.00
'2014 May 04',160.08,65.32,8700.00,13200.00
'2014 May 05',159.99,65.51,11600.00,13200.00
'2014 May 06',159.89,65.63,11700.00,14400.00
'2014 May 07',159.48,66.01,10600.00,15800.00
'2014 May 08',158.97,64.73,9500.00,12900.00
'2014 May 09',158.38,65.55,9000.00,13000.00
'2014 May 10',157.78,65.36,9200.00,13700.00
'2014 May 11',157.28,65.71,8800.00,13800.00
'2014 May 12',156.70,65.08,9000.00,12600.00
'2014 May 13',156.19,65.47,9500.00,13700.00
'2014 May 14',155.78,65.09,9200.00,13300.00
'2014 May 15',155.35,65.46,9400.00,13800.00
'2014 May 16',154.89,65.66,8900.00,13700.00
'2014 May 17',154.48,65.40,8200.00,12300.00
'2014 May 18',154.15,65.46,7500.00,11100.00
'2014 May 19',153.73,65.61,7000.00,11200.00
'2014 May 20',153.08,65.87,6800.00,12700.00
'2014 May 21',152.76,65.34,8500.00,12600.00
'2014 May 22',152.53,65.87,8500.00,11500.00
'2014 May 23',152.13,65.32,8500.00,13100.00
'2014 May 24',151.67,65.68,9200.00,14200.00
'2014 May 25',151.34,65.55,9500.00,14300.00
'2014 May 26',151.26,65.16,12000.00,14100.00
'2014 May 27',150.93,65.86,10200.00,15800.00
'2014 May 28',150.34,66.36,10000.00,15500.00
'2014 May 29',149.84,66.27,10500.00,15500.00
'2014 May 30',149.33,65.40,10300.00,15400.00
'2014 May 31',148.89,65.96,11500.00,16300.00
'2014 Jun 01',148.38,65.73,11000.00,16500.00
'2014 Jun 02',147.82,66.07,11700.00,16800.00
'2014 Jun 03',147.42,65.48,13000.00,17300.00
'2014 Jun 04',147.18,65.51,16000.00,16000.00
'2014 Jun 05',147.04,65.58,16200.00,17500.00
'2014 Jun 06',146.67,64.99,16500.00,19100.00
'2014 Jun 07',146.67,64.99,16500.00,19100.00
'2014 Jun 08',146.51,65.21,14800.00,17000.00
'2014 Jun 09',146.10,65.73,13000.00,19000.00
'2014 Jun 10',146.77,64.87,14800.00,16400.00
'2014 Jun 11',145.56,64.94,15200.00,17200.00
'2014 Jun 12',145.40,65.45,14600.00,17400.00
'2014 Jun 13',145.28,65.10,13800.00,16300.00
'2014 Jun 14',145.20,65.09,14200.00,15800.00
'2014 Jun 15',145.30,65.19,15300.00,15900.00
'2014 Jun 16',145.05,66.25,15800.00,18200.00
'2014 Jun 17',145.49,65.06,13700.00,14100.00
'2014 Jun 18',145.62,64.77,13300.00,14000.00
'2014 Jun 19',146.10,65.73,13000.00,19000.00
'2014 Jun 20',146.77,64.87,14800.00,16400.00
'2014 Jun 21',145.93,64.78,19000.00,15600.00
'2014 Jun 22',146.01,65.08,19200.00,19400.00
'2014 Jun 23',146.17,65.16,17400.00,19300.00
'2014 Jun 24',145.79,64.91,16000.00,19400.00
'2014 Jun 25',145.45,66.42,17500.00,16900.00
'2014 Jun 26',145.61,64.74,18200.00,17900.00
'2014 Jun 27',145.70,65.46,19800.00,17000.00
'2014 Jun 28',145.93,65.18,17800.00,18400.00
'2014 Jun 29',145.83,65.14,17500.00,18400.00
'2014 Jun 30',146.04,64.89,20500.00,19400.00
'2014 Jul 01',146.43,65.18,21500.00,19300.00
'2014 Jul 02',146.90,65.60,23600.00,21600.00
'2014 Jul 03',146.41,67.28,24500.00,26200.00
'2014 Jul 04',146.38,67.65,30000.00,27900.00
'2014 Jul 05',147.02,67.85,26500.00,28000.00
'2014 Jul 06',146.75,68.12,25000.00,28500.00
'2014 Jul 07',146.38,68.14,25600.00,28900.00
'2014 Jul 08',146.23,68.00,25000.00,27500.00
'2014 Jul 09',146.08,67.86,24300.00,26500.00
'2014 Jul 10',145.58,67.81,24800.00,28100.00
'2014 Jul 11',145.18,67.51,26500.00,27600.00
'2014 Jul 12',146.16,67.74,38000.00,28800.00
'2014 Jul 13',147.29,67.65,32000.00,27900.00
'2014 Jul 14',147.52,68.02,26000.00,30300.00
'2014 Jul 15',149.70,67.69,37500.00,28500.00
'2014 Jul 16',146.68,68.06,34000.00,30900.00
'2014 Jul 17',147.59,68.08,40500.00,31100.00
'2014 Jul 18',149.25,67.96,38000.00,30400.00
'2014 Jul 19',150.53,68.08,34000.00,30500.00
'2014 Jul 20',150.86,68.03,26800.00,30800.00
'2014 Jul 21',150.39,68.04,27000.00,31300.00
'2014 Jul 22',150.97,67.92,27500.00,26400.00
'2014 Jul 23',150.17,68.02,23500.00,30600.00
'2014 Jul 24',149.20,68.63,22500.00,31600.00
'2014 Jul 25',148.80,67.81,21200.00,26200.00
'2014 Jul 26',148.33,67.78,21200.00,24800.00
'2014 Jul 27',147.86,67.81,20400.00,25100.00
'2014 Jul 28',146.99,68.08,19000.00,26900.00
'2014 Jul 29',145.92,68.05,18300.00,27300.00
'2014 Jul 30',145.75,67.39,17000.00,22300.00
'2014 Jul 31',145.95,65.02,16700.00,18400.00
'2014 Aug 01',145.90,65.05,17500.00,18400.00
'2014 Aug 02',145.08,65.31,21000.00,18500.00
'2014 Aug 03',146.96,65.28,27000.00,18200.00
'2014 Aug 04',148.41,65.34,22500.00,18300.00
'2014 Aug 05',148.93,65.00,18500.00,18500.00
'2014 Aug 06',149.19,65.04,23500.00,18400.00
'2014 Aug 07',149.99,64.78,22200.00,18600.00
'2014 Aug 08',148.99,68.27,21200.00,28300.00
'2014 Aug 09',148.37,68.27,25000.00,28800.00
'2014 Aug 10',148.09,68.24,25000.00,28900.00
'2014 Aug 11',147.80,68.34,32000.00,31200.00
'2014 Aug 12',149.32,67.35,32000.00,25500.00
'2014 Aug 13',150.37,66.88,27100.00,24700.00
'2014 Aug 14',150.83,66.90,24900.00,25100.00
'2014 Aug 15',150.94,66.75,23400.00,25100.00
'2014 Aug 16',151.09,66.76,21800.00,23400.00
'2014 Aug 17',150.96,67.15,22000.00,23700.00
'2014 Aug 18',151.00,67.09,27800.00,23600.00
'2014 Aug 19',152.07,66.76,31200.00,23000.00
'2014 Aug 20',153.26,67.63,32300.00,24400.00
'2014 Aug 21',154.13,67.91,30500.00,25900.00
'2014 Aug 22',154.00,68.35,27500.00,28200.00
'2014 Aug 23',154.58,68.19,26000.00,28800.00
'2014 Aug 24',154.40,68.34,24200.00,28800.00
'2014 Aug 25',153.90,68.44,24000.00,30000.00
'2014 Aug 26',153.76,68.41,24800.00,28600.00
'2014 Aug 27',154.19,68.21,29000.00,27900.00
'2014 Aug 28',154.96,68.22,35000.00,29300.00
'2014 Aug 29',155.85,68.35,36000.00,28900.00
'2014 Aug 30',156.90,68.29,33000.00,28300.00
'2014 Aug 31',157.69,68.28,34000.00,27900.00
'2014 Sep 01',160.10,67.98,48000.00,26900.00
'2014 Sep 02',162.97,68.50,41000.00,28600.00
'2014 Sep 03',161.84,70.31,38000.00,4210.00
'2014 Sep 04',162.85,68.54,30000.00,29900.00
'2014 Sep 05',163.21,68.17,26000.00,25800.00
'2014 Sep 06',163.17,68.14,25500.00,25800.00
'2014 Sep 07',163.09,68.15,24800.00,25800.00
'2014 Sep 08',163.84,68.08,23800.00,25900.00
'2014 Sep 09',162.87,68.00,24300.00,25800.00
'2014 Sep 10',162.62,68.09,24000.00,26000.00
'2014 Sep 11',162.29,68.05,25200.00,26100.00
'2014 Sep 12',162.61,67.87,31500.00,24700.00
'2014 Sep 13',163.39,67.98,36500.00,25700.00
'2014 Sep 14',164.48,69.60,47000.00,33400.00
'2014 Sep 15',165.42,69.75,42500.00,35500.00
'2014 Sep 16',166.27,69.28,36500.00,33200.00
'2014 Sep 17',166.72,68.90,34500.00,31100.00
'2014 Sep 18',166.65,70.67,49000.00,41800.00
'2014 Sep 19',166.76,71.53,54500.00,45700.00
'2014 Sep 20',167.70,71.49,49000.00,45600.00
'2014 Sep 21',167.86,70.62,30000.00,41300.00
'2014 Sep 22',168.40,68.36,25800.00,27700.00
'2014 Sep 23',168.51,67.78,22000.00,23500.00
'2014 Sep 24',168.28,67.78,22000.00,23300.00
'2014 Sep 25',167.88,67.94,20500.00,24500.00
'2014 Sep 26',167.64,67.92,23200.00,26400.00
'2014 Sep 27',167.77,67.89,28000.00,24600.00
'2014 Sep 28',168.30,67.86,29000.00,24400.00
'2014 Sep 29',166.76,67.87,25500.00,24400.00
'2014 Sep 30',168.48,67.76,25500.00,24300.00
'2014 Oct 01',169.19,66.85,23500.00,17800.00
'2014 Oct 02',169.90,65.28,22000.00,17400.00
'2014 Oct 03',170.28,65.33,20000.00,17400.00
'2014 Oct 04',170.70,65.31,21000.00,17300.00
'2014 Oct 05',171.21,65.13,20000.00,17300.00
'2014 Oct 06',171.77,65.75,21200.00,17300.00
'2014 Oct 07',172.13,66.15,18800.00,17300.00
'2014 Oct 08',172.39,65.19,17400.00,17100.00
'2014 Oct 09',172.07,65.40,14500.00,18800.00
'2014 Oct 10',171.98,66.01,14500.00,16900.00
'2014 Oct 11',172.21,64.58,13700.00,12900.00
'2014 Oct 12',172.37,64.99,12900.00,12600.00
'2014 Oct 13',172.51,64.98,13700.00,12600.00
'2014 Oct 14',173.26,64.71,14800.00,10800.00
'2014 Oct 15',173.26,64.71,14800.00,10800.00
'2014 Oct 16',173.16,64.59,13500.00,14100.00
'2014 Oct 17',173.19,64.79,13000.00,14100.00
'2014 Oct 18',173.15,64.93,13000.00,14100.00
'2014 Oct 19',173.20,64.60,13000.00,14100.00
'2014 Oct 20',173.29,64.86,15000.00,14100.00
'2014 Oct 21',173.66,64.64,13500.00,11300.00
'2014 Oct 22',173.95,64.90,12200.00,9980.00
'2014 Oct 23',174.22,65.62,11500.00,9900.00
'2014 Oct 24',174.40,65.74,12000.00,10000.00
'2014 Oct 25',174.61,65.77,11500.00,10600.00
'2014 Oct 26',174.69,65.61,10800.00,10600.00
'2014 Oct 27',174.57,65.77,10800.00,13400.00
'2014 Oct 28',174.89,66.39,24000.00,18400.00
'2014 Oct 29',174.89,66.36,24000.00,18400.00
'2014 Oct 30',174.93,67.28,20500.00,22100.00
'2014 Oct 31',175.00,66.09,14800.00,17800.00
'2014 Nov 01',174.73,65.96,13500.00,17600.00
'2014 Nov 02',174.51,65.42,13500.00,16000.00
'2014 Nov 03',174.41,65.11,14500.00,14900.00
'2014 Nov 04',174.33,65.42,13500.00,15900.00
'2014 Nov 05',174.21,65.10,12700.00,15900.00
'2014 Nov 06',173.83,64.71,11500.00,15900.00
'2014 Nov 07',173.45,65.25,10500.00,16000.00
'2014 Nov 08',173.36,65.21,10000.00,11700.00
'2014 Nov 09',173.30,65.11,9800.00,11700.00
'2014 Nov 10',173.27,64.75,9600.00,11700.00
'2014 Nov 11',173.29,64.52,9200.00,10800.00
'2014 Nov 12',173.31,64.81,9200.00,10800.00
'2014 Nov 13',173.33,65.36,9200.00,10800.00
'2014 Nov 14',173.26,64.97,8000.00,10100.00
'2014 Nov 15',173.37,64.99,7700.00,8470.00
'2014 Nov 16',173.48,64.97,7500.00,7070.00
'2014 Nov 17',173.57,65.42,7400.00,7090.00
'2014 Nov 18',173.68,65.47,7100.00,6400.00
'2014 Nov 19',173.84,65.40,7000.00,6360.00
'2014 Nov 20',173.97,65.36,6800.00,6360.00
'2014 Nov 21',174.07,65.28,7100.00,6350.00
'2014 Nov 22',174.18,65.32,7000.00,6340.00
'2014 Nov 23',174.25,65.48,7000.00,6350.00
'2014 Nov 24',174.30,65.30,7000.00,5970.00
'2014 Nov 25',174.42,65.33,7000.00,6320.00
'2014 Nov 26',174.50,64.89,7500.00,7000.00
'2014 Nov 27',174.54,65.22,7900.00,6880.00
'2014 Nov 28',174.58,64.95,7800.00,7390.00
'2014 Nov 29',174.75,64.83,8200.00,7000.00
'2014 Nov 30',174.75,64.83,8200.00,7000.00
'2014 Dec 01',174.76,65.27,7200.00,8420.00
'2014 Dec 02',174.71,65.37,7500.00,8430.00
'2014 Dec 03',174.86,64.89,7700.00,8400.00
'2014 Dec 04',174.51,65.74,7400.00,9070.00
'2014 Dec 05',174.25,63.96,7000.00,9530.00
'2014 Dec 06',174.03,64.02,7200.00,9540.00
'2014 Dec 07',173.80,64.16,6800.00,9570.00
'2014 Dec 08',173.48,64.14,6800.00,9600.00
'2014 Dec 09',173.36,65.10,6400.00,8720.00
'2014 Dec 10',173.41,65.00,6600.00,7630.00
'2014 Dec 11',173.41,65.52,7000.00,7170.00
'2014 Dec 12',173.44,65.57,6400.00,7180.00
'2014 Dec 13',173.37,65.30,6200.00,7170.00
'2014 Dec 14',173.37,65.30,6200.00,7170.00
'2014 Dec 15',173.25,65.14,6300.00,7160.00
'2014 Dec 16',173.18,65.15,6200.00,7170.00
'2014 Dec 17',173.12,65.30,6000.00,7180.00
'2014 Dec 18',173.06,65.20,6900.00,7180.00
'2014 Dec 19',172.97,64.86,5900.00,7150.00
'2014 Dec 20',172.89,65.02,6000.00,6730.00
'2014 Dec 21',172.92,65.30,5900.00,6740.00
'2014 Dec 22',172.77,65.27,5800.00,7200.00
'2014 Dec 23',172.74,65.52,5800.00,7310.00
'2014 Dec 24',172.58,65.18,5900.00,7600.00
'2014 Dec 25',172.47,65.05,5900.00,7300.00
'2014 Dec 26',172.34,65.15,5900.00,7570.00
'2014 Dec 27',172.24,65.28,5600.00,7580.00
'2014 Dec 28',172.07,65.05,5400.00,7580.00
'2014 Dec 29',171.85,64.84,5200.00,7530.00
'2014 Dec 30',171.72,64.98,5200.00,7210.00
'2014 Dec 31',171.49,65.25,5300.00,7240.00
'2015 Jan 01',171.45,65.28,5200.00,6440.00
'2015 Jan 02',171.38,65.38,5100.00,6460.00
'2015 Jan 03',171.31,65.20,4900.00,6450.00
'2015 Jan 04',171.19,65.24,5000.00,6450.00
'2015 Jan 05',171.06,65.25,4700.00,6460.00
'2015 Jan 06',170.97,65.11,4900.00,6460.00
'2015 Jan 07',170.95,65.07,5300.00,6450.00
'2015 Jan 08',170.92,65.18,5300.00,6460.00
'2015 Jan 09',170.85,65.27,5400.00,6470.00
'2015 Jan 10',170.84,65.21,5700.00,6480.00
'2015 Jan 11',170.78,65.26,5700.00,6480.00
'2015 Jan 12',170.72,65.21,5600.00,6450.00
'2015 Jan 13',170.70,65.98,5900.00,6450.00
'2015 Jan 14',170.67,64.77,5900.00,6440.00
'2015 Jan 15',170.68,65.19,5500.00,6460.00
'2015 Jan 16',170.67,65.48,5800.00,6470.00
'2015 Jan 17',170.60,65.52,5900.00,6480.00
'2015 Jan 18',170.62,65.37,5700.00,6480.00
'2015 Jan 19',170.56,65.31,5800.00,6470.00
'2015 Jan 20',170.62,65.34,6200.00,6470.00
'2015 Jan 21',170.59,65.46,6200.00,6480.00
'2015 Jan 22',170.49,65.47,6100.00,6480.00
'2015 Jan 23',170.46,65.20,5950.00,6480.00
'2015 Jan 24',170.54,65.00,6200.00,6450.00
'2015 Jan 25',170.50,65.00,6200.00,6460.00
'2015 Jan 26',170.50,65.19,6100.00,6470.00
'2015 Jan 27',170.45,65.51,6100.00,5500.00
'2015 Jan 28',170.45,65.53,6100.00,6500.00
'2015 Jan 29',170.54,65.10,6100.00,6460.00
'2015 Jan 30',170.55,65.00,6300.00,6450.00
'2015 Jan 31',170.60,65.23,6000.00,6470.00
'2015 Feb 01',170.55,65.24,5600.00,6460.00
'2015 Feb 02',170.52,65.38,5600.00,6470.00
'2015 Feb 03',170.56,65.16,5600.00,6460.00
'2015 Feb 04',171.19,65.24,5000.00,6450.00
'2015 Feb 05',170.51,65.30,5600.00,6470.00
'2015 Feb 06',170.44,65.04,5500.00,6460.00
'2015 Feb 07',170.44,64.99,5500.00,6460.00
'2015 Feb 08',170.39,64.80,5500.00,6450.00
'2015 Feb 09',170.35,64.98,5400.00,6460.00
'2015 Feb 10',170.28,65.02,5300.00,7720.00
'2015 Feb 11',170.14,64.75,5500.00,7730.00
'2015 Feb 12',170.08,64.88,5600.00,7730.00
'2015 Feb 13',170.01,65.05,5300.00,7810.00
'2015 Feb 14',169.97,65.15,5400.00,7760.00
'2015 Feb 15',169.89,65.44,5300.00,7790.00
'2015 Feb 16',169.73,65.20,5200.00,7800.00
'2015 Feb 17',169.54,65.66,5000.00,7820.00
'2015 Feb 18',169.28,65.52,4900.00,7620.00
'2015 Feb 19',169.09,65.29,4700.00,7590.00
'2015 Feb 20',168.98,65.27,4600.00,7600.00
'2015 Feb 21',168.86,65.42,4600.00,7630.00
'2015 Feb 22',168.74,65.33,4800.00,7630.00
'2015 Feb 23',168.62,65.36,4800.00,7640.00
'2015 Feb 24',168.52,65.33,4800.00,7640.00
'2015 Feb 25',168.42,65.53,5000.00,7660.00
'2015 Feb 26',168.26,65.33,5000.00,7890.00
'2015 Feb 27',168.11,65.18,5200.00,8170.00
'2015 Feb 28',168.12,65.25,5800.00,8170.00
'2015 Mar 01',168.01,65.20,5800.00,8160.00
'2015 Mar 02',167.83,64.86,5200.00,8170.00
'2015 Mar 03',167.60,64.56,5500.00,8170.00
'2015 Mar 04',167.40,64.75,5600.00,8190.00
'2015 Mar 05',167.09,64.69,6000.00,8200.00
'2015 Mar 06',167.28,64.71,6100.00,8200.00
'2015 Mar 07',167.12,64.76,6300.00,8210.00
'2015 Mar 08',167.28,64.71,6300.00,8220.00
'2015 Mar 09',167.90,64.97,5600.00,8220.00
'2015 Mar 10',166.66,65.18,5500.00,8280.00
'2015 Mar 11',166.53,65.17,5500.00,8300.00
'2015 Mar 12',166.39,64.68,5600.00,6780.00
'2015 Mar 13',166.23,64.49,5800.00,6780.00
'2015 Mar 14',166.20,64.58,5800.00,6790.00
'2015 Mar 15',166.05,64.54,5500.00,6800.00
'2015 Mar 16',165.93,64.52,5500.00,6800.00
'2015 Mar 17',165.74,64.83,5900.00,8330.00
'2015 Mar 18',165.59,65.03,6100.00,8370.00
'2015 Mar 19',165.46,64.93,6200.00,8390.00
'2015 Mar 20',165.33,64.58,5600.00,8360.00
'2015 Mar 21',165.20,64.69,6000.00,8370.00
'2015 Mar 22',165.12,64.52,5900.00,6860.00
'2015 Mar 23',164.97,64.90,6100.00,6900.00
'2015 Mar 24',164.92,66.07,6200.00,6980.00
'2015 Mar 25',164.92,65.49,6600.00,6950.00
'2015 Mar 26',164.83,65.57,6600.00,6960.00
'2015 Mar 27',164.75,65.45,7400.00,8480.00
'2015 Mar 28',164.65,65.38,7300.00,8490.00
'2015 Mar 29',164.54,65.34,7500.00,8500.00
'2015 Mar 30',164.46,65.34,7600.00,8500.00
'2015 Mar 31',164.46,65.32,8200.00,8500.00
'2015 Apr 01',164.44,65.22,8400.00,8490.00
'2015 Apr 02',164.57,65.18,9200.00,8480.00
'2015 Apr 03',164.56,65.26,9500.00,8490.00
'2015 Apr 04',164.88,65.17,10500.00,6930.00
'2015 Apr 05',165.40,65.15,11000.00,6930.00
'2015 Apr 06',165.66,65.23,9800.00,6800.00
'2015 Apr 07',166.98,65.12,10000.00,6850.00
'2015 Apr 08',166.30,64.71,9200.00,6800.00
'2015 Apr 09',166.47,65.06,9000.00,8310.00
'2015 Apr 10',166.56,65.03,9300.00,8360.00
'2015 Apr 11',166.73,65.28,9400.00,8320.00
'2015 Apr 12',167.79,65.45,9400.00,8320.00
'2015 Apr 13',167.07,64.41,9400.00,6740.00
'2015 Apr 14',167.30,64.57,9400.00,6730.00
'2015 Apr 15',167.56,64.63,9100.00,6720.00
'2015 Apr 16',167.64,65.76,8900.00,6780.00
'2015 Apr 17',167.90,65.21,9200.00,6730.00
'2015 Apr 18',167.92,64.72,9300.00,10700.00
'2015 Apr 19',167.82,64.72,9150.00,11100.00
'2015 Apr 20',167.45,65.18,9000.00,13200.00
'2015 Apr 21',167.04,64.81,8800.00,13400.00
'2015 Apr 22',166.65,64.71,8500.00,13400.00
'2015 Apr 23',166.10,64.80,7500.00,13500.00
'2015 Apr 24',165.47,64.95,7400.00,14400.00
'2015 Apr 25',164.85,64.84,8000.00,14200.00
'2015 Apr 26',164.26,65.06,7500.00,14300.00
'2015 Apr 27',163.67,64.56,7500.00,14400.00
'2015 Apr 28',,,,
'2015 Apr 29',,,,
'2015 Apr 30',,,,
'2015 May 01',161.63,65.24,8400.00,13100.00
'2015 May 02',161.09,65.76,8300.00,13800.00
'2015 May 03',160.69,65.41,8200.00,13800.00
'2015 May 04',160.11,65.38,7800.00,14200.00
'2015 May 05',159.54,65.93,7500.00,14100.00
'2015 May 06',159.06,66.05,7900.00,13700.00
'2015 May 07',158.39,65.61,7200.00,13700.00
'2015 May 08',157.79,64.95,7000.00,13300.00
'2015 May 09',157.11,65.33,7300.00,13300.00
'2015 May 10',156.59,65.24,8500.00,13300.00
'2015 May 11',156.28,65.22,8800.00,13600.00
'2015 May 12',155.81,66.08,8500.00,13900.00
'2015 May 13',155.40,65.69,8500.00,13900.00
'2015 May 14',155.01,65.43,8600.00,13900.00
'2015 May 15',154.73,65.39,9000.00,14800.00
'2015 May 16',154.31,65.51,9000.00,14600.00
'2015 May 17',153.88,65.17,8800.00,14600.00
'2015 May 18',153.35,64.99,8600.00,15000.00
'2015 May 19',152.94,65.98,8600.00,14100.00
'2015 May 20',152.45,65.93,8000.00,13300.00
'2015 May 21',152.17,65.29,8000.00,11700.00
'2015 May 22',151.90,65.42,8000.00,11800.00
'2015 May 23',151.58,65.71,9200.00,13200.00
'2015 May 24',151.25,65.43,9200.00,13200.00
'2015 May 25',150.87,65.68,9300.00,13400.00
'2015 May 26',150.62,65.61,9500.00,13400.00
'2015 May 27',150.27,65.79,9300.00,14400.00
'2015 May 28',149.85,66.44,10000.00,15400.00
'2015 May 29',149.69,66.43,13000.00,17100.00
'2015 May 30',149.70,65.77,10500.00,19200.00
'2015 May 31',149.39,65.63,10000.00,14000.00
'2015 Jun 01',149.25,65.42,14000.00,14200.00
'2015 Jun 02',149.57,64.23,11000.00,6750.00
'2015 Jun 03',150.17,64.89,11000.00,6790.00
'2015 Jun 04',151.17,64.89,16000.00,6690.00
'2015 Jun 05',152.33,64.53,14500.00,6530.00
'2015 Jun 06',153.39,64.66,14500.00,6440.00
'2015 Jun 07',153.98,65.24,14500.00,13200.00
'2015 Jun 08',153.70,65.84,14600.00,19100.00
'2015 Jun 09',153.00,67.30,14800.00,10000.00
'2015 Jun 10',152.41,67.28,14000.00,19100.00
'2015 Jun 11',151.69,67.23,14000.00,19200.00
'2015 Jun 12',150.91,67.71,12500.00,19100.00
'2015 Jun 13',150.06,67.18,13000.00,18800.00
'2015 Jun 14',149.09,66.76,14000.00,18700.00
'2015 Jun 15',148.39,65.44,13500.00,18100.00
'2015 Jun 16',147.86,66.65,19000.00,22200.00
'2015 Jun 17',147.68,67.10,22500.00,22600.00
'2015 Jun 18',147.40,67.29,15500.00,20900.00
'2015 Jun 19',146.41,67.08,16500.00,21400.00
'2015 Jun 20',145.36,66.45,16000.00,21300.00
'2015 Jun 21',145.13,65.10,16000.00,14800.00
'2015 Jun 22',145.40,64.91,16500.00,16100.00
'2015 Jun 23',145.07,65.15,14400.00,18000.00
'2015 Jun 24',145.16,65.02,15500.00,15900.00
'2015 Jun 25',145.77,65.53,22000.00,16000.00
'2015 Jun 26',145.05,67.91,26500.00,28500.00
'2015 Jun 27',145.57,68.07,28000.00,27500.00
